datetime,line,station,enter_04_05,exit_04_05,enter_05_06,exit_05_06,enter_06_07,exit_06_07,enter_07_08,exit_07_08,enter_08_09,exit_08_09,enter_09_10,exit_09_10,enter_10_11,exit_10_11,enter_11_12,exit_11_12,enter_12_13,exit_12_13,enter_13_14,exit_13_14,enter_14_15,exit_14_15,enter_15_16,exit_15_16,enter_16_17,exit_16_17,enter_17_18,exit_17_18,enter_18_19,exit_18_19,enter_19_20,exit_19_20,enter_20_21,exit_20_21,enter_21_22,exit_21_22,enter_22_23,exit_22_23,enter_23_24,exit_23_24,enter_00_01,exit_00_01,enter_01_02,exit_01_02,enter_02_03,exit_02_03,enter_03_04,exit_03_04,updated,ID,gu_x,gu_y,gu
202009,7호선,면목,49,0,11921,1028,20633,5571,51356,8030,62991,21211,33113,11075,18103,10417,15372,11039,15763,12016,16269,12631,14551,14502,13941,18397,15672,23828,16588,30330,17906,48408,13886,45553,8088,25261,6584,22695,4302,16861,1709,9710,2,849,0,0,0,0,0,0,20201003,7호선면목,중랑구,중랑구,중랑구
202009,7호선,반포,3,0,1045,567,2770,6126,6977,10901,9368,18700,6195,15127,4244,6905,4377,6695,5736,7083,6353,6666,6301,6142,7783,6135,11277,5884,13260,7391,15623,9296,10187,6495,7644,3687,8793,3142,6134,2487,1497,1387,5,93,0,0,0,0,0,0,20201003,7호선반포,서초구,서초구,서초구
202009,7호선,보라매,29,0,6070,1554,7413,5801,19436,14887,28149,34922,16092,11984,8828,6455,9196,6308,9009,7490,8879,8203,9061,7611,10879,8702,12923,10059,16526,14712,28548,24244,10138,19493,6773,10886,6274,9933,4355,7421,1582,4692,0,448,0,0,0,0,0,0,20201003,7호선보라매,동작구,동작구,동작구
202009,7호선,사가정,8,0,10898,1426,19942,6463,47624,10333,60676,23223,32774,13409,19169,11740,16448,12442,17888,13265,17121,13843,16171,15529,16133,20367,17452,24076,19969,32484,21021,53604,15314,47015,10740,25393,9431,22838,6262,16506,2638,9180,2,916,0,0,0,0,0,0,20201003,7호선사가정,중랑구,중랑구,중랑구
202009,7호선,상도,2,0,3944,1490,9231,6412,26316,7446,36475,15277,20236,12062,12095,8344,10509,7828,10885,8461,11163,9725,10607,9548,10934,11012,13554,13033,15802,18570,16322,30687,8438,23266,6994,14242,6676,13132,6039,10138,2560,6377,7,544,0,0,0,0,0,0,20201003,7호선상도,동작구,동작구,동작구
202009,7호선,상봉,316,4,10224,1559,17154,6448,44092,12236,59799,29454,29826,18237,16943,12446,15076,11429,16362,13308,15980,15101,16121,15508,16449,17428,19194,20923,24654,29369,27610,48928,19305,43674,13806,24089,12715,20766,8444,15112,3583,10015,23,950,0,0,0,0,0,0,20201003,7호선상봉,중랑구,중랑구,중랑구
202009,7호선,수락산,20,1,8309,713,18766,5236,43767,7709,41267,15501,21848,14752,14512,14291,12934,12598,13552,12008,15031,11377,14545,11917,15157,14266,15596,17004,16608,20883,16934,35921,10624,38741,6819,21745,5766,17696,3450,13888,1209,8200,11,1428,0,0,0,0,0,0,20201003,7호선수락산,노원구,노원구,노원구
202009,7호선,숭실대입구,18,0,5199,786,10187,3140,30946,6519,43082,15721,22020,11871,12449,9539,10845,9913,11800,10721,12533,11587,11937,12250,11803,13998,13861,16681,17234,22795,16466,38084,9979,30159,8394,17465,8742,15922,7187,12516,3234,7777,13,761,0,0,0,0,0,0,20201003,7호선숭실대입구,동작구,동작구,동작구
202009,7호선,신대방삼거리,10,0,9417,1181,15619,6900,44114,11832,67486,26459,35427,16564,18888,12026,16220,11074,17367,12220,16484,13181,15516,14841,15539,17641,18313,19747,20017,28834,25384,53520,13944,41655,10375,23908,8665,21855,6263,16349,2558,10095,9,680,0,0,0,0,0,0,20201003,7호선신대방삼거리,동작구,동작구,동작구
202009,7호선,신풍,66,0,9708,1529,13657,5817,32933,9965,41146,18128,22883,9764,12683,7602,10409,7481,11142,8466,11320,9368,10624,9467,10587,12384,12909,14690,14881,21958,16825,33601,9286,25900,6300,14815,5140,15075,3548,11021,1336,5970,4,1143,0,0,0,0,0,0,20201003,7호선신풍,영등포구,영등포구,영등포구
202009,7호선,어린이대공원,13,0,3383,1032,6272,8399,14464,12327,24939,35637,16993,18944,9272,12350,8544,10306,9974,11114,10783,13239,11744,12600,14081,12812,18640,12470,27871,15810,30684,22267,16530,18125,11730,10915,11979,10280,10114,8141,4468,5493,9,216,0,0,0,0,0,0,20201003,7호선어린이대공원,광진구,광진구,광진구
202009,7호선,온수,121,1,7219,1071,14095,4012,44071,9096,51213,12844,21202,6137,10332,4930,8595,5573,8922,6082,8961,6657,7965,7533,8387,9228,10498,11500,11087,18014,10877,37658,5249,30160,3804,16500,3637,14670,2181,10445,795,6853,9,2273,0,0,0,0,0,0,20201003,7호선온수,구로구,구로구,구로구
202009,7호선,용마산,3,1,4839,720,9786,2754,20502,3570,25370,8873,13087,5183,7207,4415,5701,4152,5953,4502,5835,5066,5375,5370,5517,6998,6221,8460,6183,10741,6828,18754,4235,16786,2584,9282,2170,9292,1473,6651,637,3928,2,349,0,0,0,0,0,0,20201003,7호선용마산,중랑구,중랑구,중랑구
202009,7호선,이수,17,1,4650,1077,7207,8209,21727,12695,35241,38478,22079,24978,14353,14209,13626,13253,14672,13819,16134,15530,16879,16226,18135,17384,21045,20300,25821,26047,37699,42929,21043,29785,19090,15938,18823,14073,13708,10258,5863,5911,13,487,0,0,0,0,0,0,20201003,7호선이수,동작구,동작구,동작구
202009,7호선,장승배기,8,0,6205,829,10571,3779,26468,7108,37304,15640,20937,9113,11875,7870,10155,7794,10418,8042,11112,9088,10083,9276,10226,12091,11091,13315,11756,18906,14233,29120,7683,24048,5913,13732,5362,13562,3762,9309,1389,5918,1,446,0,0,0,0,0,0,20201003,7호선장승배기,동작구,동작구,동작구
